"Story","Title","Result","Date","Stability","Duration (s)"
"Validate login with different users admin","Log into the GSA website as createDepartment","SUCCESS","2019-04-30T12:56:01.053-04:00[America/New_York]","0.0","146.48"
"Validate login with different users admin","Super Admin","SUCCESS","2019-04-30T12:58:27.542-04:00[America/New_York]","0.0","71.97"
"Validate login with different users admin","edit department","SUCCESS","2019-04-30T12:59:39.514-04:00[America/New_York]","0.0","23.4"
"Validate login with different users admin","Log into the GSA website as DepartAdmin","SUCCESS","2019-04-30T13:00:09.096-04:00[America/New_York]","0.0","81.77"
"Validate login with different users admin","Log into the GSA website as SubTierAdmin","SUCCESS","2019-04-30T13:02:39.169-04:00[America/New_York]","0.0","84.48"
"Validate login with different users admin","Log into the GSA website as officeAdmin","SUCCESS","2019-04-30T13:05:07.411-04:00[America/New_York]","0.0","73.81"
"Validate login with different users admin","Department created browser sign","SUCCESS","2019-04-30T13:07:24.713-04:00[America/New_York]","0.0","6.19"
"Validate error meaasage in sub tier page","Log into the GSA website","SUCCESS","2019-04-30T13:07:30.907-04:00[America/New_York]","0.0","127.2"
"Validate error meaasage in sub tier page","This field cannot be empty","SUCCESS","2019-04-30T13:09:38.114-04:00[America/New_York]","0.0","14.73"
"Validate error meaasage in sub tier page","Description field is Empty","SUCCESS","2019-04-30T13:10:02.218-04:00[America/New_York]","0.0","31.62"
"Validate error meaasage in sub tier page","This field is required","SUCCESS","2019-04-30T13:10:43.213-04:00[America/New_York]","0.0","3.85"
"Validate error meaasage in sub tier page","Required Field","SUCCESS","2019-04-30T13:10:47.071-04:00[America/New_York]","0.0","9.37"
"Validate error meaasage in sub tier page","Agency is Required","SUCCESS","2019-04-30T13:10:56.44-04:00[America/New_York]","0.0","5.49"
"Validate error meaasage in sub tier page","CGAC is Required","SUCCESS","2019-04-30T13:11:11.373-04:00[America/New_York]","0.0","5.3"
"Validate error meaasage in sub tier page",": Reading CGAC only numbers expection","SUCCESS","2019-04-30T13:11:26.035-04:00[America/New_York]","0.0","6.46"
"Validate error meaasage in sub tier page","CGAC only numbers","SUCCESS","2019-04-30T13:11:41.887-04:00[America/New_York]","0.0","7.1"
"Validate error meaasage in sub tier page","Date field","SUCCESS","2019-04-30T13:12:07.765-04:00[America/New_York]","0.0","15.22"
"Validate error meaasage in sub tier page","Click on federal Hierancy","SUCCESS","2019-04-30T13:13:15.314-04:00[America/New_York]","0.0","15.16"
"Validate error meaasage in sub tier page","0ne","SUCCESS","2019-04-30T13:13:46.731-04:00[America/New_York]","0.0","15.04"
"Validate error meaasage in sub tier page","Agency Code Field Edit SubTier","SUCCESS","2019-04-30T13:14:01.775-04:00[America/New_York]","0.0","7.48"
"Validate error meaasage in sub tier page","Two","SUCCESS","2019-04-30T13:14:09.254-04:00[America/New_York]","0.0","15.05"
"Validate error meaasage in sub tier page","Super Admin Edit SubTier","SUCCESS","2019-04-30T13:14:24.307-04:00[America/New_York]","0.0","7.83"
"Validate error meaasage in sub tier page","browser sign out","SUCCESS","2019-04-30T13:14:32.14-04:00[America/New_York]","0.0","8.42"
"Editing Request Office Page","Log into the GSA website as createDepartment","SUCCESS","2019-04-30T13:14:40.56-04:00[America/New_York]","0.0","85.9"
"Editing Request Office Page","Account name","SUCCESS","2019-04-30T13:16:06.462-04:00[America/New_York]","0.0","29.51"
"Editing Request Office Page","My Workspace","SUCCESS","2019-04-30T13:16:35.979-04:00[America/New_York]","0.0","75.76"
"Editing Request Office Page","Edit request office positive scenarios","SUCCESS","2019-04-30T13:17:51.754-04:00[America/New_York]","0.0","742.48"
"Create and Editing department and sub tier","Account name","SUCCESS","2019-04-30T13:30:26.364-04:00[America/New_York]","0.0","31.38"
"Create and Editing department and sub tier","Create department","SUCCESS","2019-04-30T13:30:57.754-04:00[America/New_York]","0.0","89.01"
"Create and Editing department and sub tier","Edit Department","SUCCESS","2019-04-30T13:32:26.768-04:00[America/New_York]","0.0","68.33"
"Create and Editing department and sub tier","Create Sub Tier","SUCCESS","2019-04-30T13:33:35.105-04:00[America/New_York]","0.0","43.21"
"Create and Editing department and sub tier","Edit Sub Tier","SUCCESS","2019-04-30T13:34:18.319-04:00[America/New_York]","0.0","45.28"
"Create and Editing department and sub tier","Department created browser sign out","SUCCESS","2019-04-30T13:37:46.563-04:00[America/New_York]","0.0","0.16"
"Validate error meaasage in create department and sub tier page","Log into the GSA website","SUCCESS","2019-04-30T13:37:46.726-04:00[America/New_York]","0.0","118.09"
"Validate error meaasage in create department and sub tier page","Submit department without filling value","SUCCESS","2019-04-30T13:39:44.814-04:00[America/New_York]","0.0","12.89"
"Validate error meaasage in create department and sub tier page","Validating negative scenario department","SUCCESS","2019-04-30T13:39:57.71-04:00[America/New_York]","0.0","107.31"
"Validate error meaasage in create department and sub tier page","Submit department by filling value","SUCCESS","2019-04-30T13:41:45.026-04:00[America/New_York]","0.0","12.1"
"Validate error meaasage in create department and sub tier page","Submit department by filling special char","SUCCESS","2019-04-30T13:43:03.836-04:00[America/New_York]","0.0","12.55"
"Validate error meaasage in create department and sub tier page","Submit subTier without filling value","SUCCESS","2019-04-30T13:44:36.119-04:00[America/New_York]","0.0","25.94"
"Validate error meaasage in create department and sub tier page","Browser close","SUCCESS","2019-04-30T13:46:01.075-04:00[America/New_York]","0.0","6.14"
"Validate error meaasage in office page","Log into the GSA website as createDepartment","SUCCESS","2019-04-30T13:49:16.492-04:00[America/New_York]","0.0","74.42"
"Validate error meaasage in office page","Account name","SUCCESS","2019-04-30T13:50:30.911-04:00[America/New_York]","0.0","30.19"
"Validate error meaasage in office page","Validation on empty field in request office page","SUCCESS","2019-04-30T13:51:01.107-04:00[America/New_York]","0.0","93.83"
"Validate error meaasage in office page","Department created browser sign out","SUCCESS","2019-04-30T13:56:20.83-04:00[America/New_York]","0.0","6.16"
