"Story","Title","Result","Date","Stability","Duration (s)"
"Validate login with different users admin","Department Admin","ERROR","2019-04-30T13:01:30.868-04:00[America/New_York]","0.0","62.14"
"Validate login with different users admin","SubTier Admin","ERROR","2019-04-30T13:04:03.652-04:00[America/New_York]","0.0","57.6"
"Validate login with different users admin","Office Admin","ERROR","2019-04-30T13:06:21.221-04:00[America/New_York]","0.0","63.49"
"Validate error meaasage in sub tier page","Date field expection","ERROR","2019-04-30T13:12:39.872-04:00[America/New_York]","0.0","35.44"
"Create and Editing department and sub tier","Log into the GSA website","ERROR","2019-04-30T13:30:14.244-04:00[America/New_York]","0.0","12.12"
"Create and Editing department and sub tier","Create office","ERROR","2019-04-30T13:35:03.608-04:00[America/New_York]","0.0","162.95"
"Validate error meaasage in create department and sub tier page","Submit subTier by filling value","ERROR","2019-04-30T13:45:43.545-04:00[America/New_York]","0.0","8.75"
"Editing request office page negative scenarios.","Log into the GSA website as createDepartment","ERROR","2019-04-30T13:46:07.222-04:00[America/New_York]","0.0","124.92"
"Editing request office page negative scenarios.","My Workspace","ERROR","2019-04-30T13:48:12.15-04:00[America/New_York]","0.0","58.68"
"Editing request office page negative scenarios.","Neg Edit request office","ERROR","2019-04-30T13:49:10.833-04:00[America/New_York]","0.0","5.65"
"Validate error meaasage in office page","Validate required fields error messages","FAILURE","2019-04-30T13:52:34.94-04:00[America/New_York]","0.0","30.63"
"Validate error meaasage in office page","Validation on Awards office types error messages","FAILURE","2019-04-30T13:53:05.579-04:00[America/New_York]","0.0","65.33"
"Validate error meaasage in office page","Validation on Funding office types error messages","ERROR","2019-04-30T13:54:10.917-04:00[America/New_York]","0.0","102.87"
"Validate error meaasage in office page","Validation on office address error messages","ERROR","2019-04-30T13:55:53.787-04:00[America/New_York]","0.0","27.04"
