"Story","Title","Result","Date","Stability","Duration (s)"
"Validate error meaasage in sub tier page","Log into the GSA website","SUCCESS","2019-04-30T13:07:30.907-04:00[America/New_York]","0.0","127.2"
"Validate error meaasage in sub tier page","This field cannot be empty","SUCCESS","2019-04-30T13:09:38.114-04:00[America/New_York]","0.0","14.73"
"Validate error meaasage in sub tier page","Description field is Empty","SUCCESS","2019-04-30T13:10:02.218-04:00[America/New_York]","0.0","31.62"
"Validate error meaasage in sub tier page","This field is required","SUCCESS","2019-04-30T13:10:43.213-04:00[America/New_York]","0.0","3.85"
"Validate error meaasage in sub tier page","Required Field","SUCCESS","2019-04-30T13:10:47.071-04:00[America/New_York]","0.0","9.37"
"Validate error meaasage in sub tier page","Agency is Required","SUCCESS","2019-04-30T13:10:56.44-04:00[America/New_York]","0.0","5.49"
"Validate error meaasage in sub tier page","CGAC is Required","SUCCESS","2019-04-30T13:11:11.373-04:00[America/New_York]","0.0","5.3"
"Validate error meaasage in sub tier page",": Reading CGAC only numbers expection","SUCCESS","2019-04-30T13:11:26.035-04:00[America/New_York]","0.0","6.46"
"Validate error meaasage in sub tier page","CGAC only numbers","SUCCESS","2019-04-30T13:11:41.887-04:00[America/New_York]","0.0","7.1"
"Validate error meaasage in sub tier page","Date field","SUCCESS","2019-04-30T13:12:07.765-04:00[America/New_York]","0.0","15.22"
"Validate error meaasage in sub tier page","Date field expection","ERROR","2019-04-30T13:12:39.872-04:00[America/New_York]","0.0","35.44"
"Validate error meaasage in sub tier page","Click on federal Hierancy","SUCCESS","2019-04-30T13:13:15.314-04:00[America/New_York]","0.0","15.16"
"Validate error meaasage in sub tier page","0ne","SUCCESS","2019-04-30T13:13:46.731-04:00[America/New_York]","0.0","15.04"
"Validate error meaasage in sub tier page","Agency Code Field Edit SubTier","SUCCESS","2019-04-30T13:14:01.775-04:00[America/New_York]","0.0","7.48"
"Validate error meaasage in sub tier page","Two","SUCCESS","2019-04-30T13:14:09.254-04:00[America/New_York]","0.0","15.05"
"Validate error meaasage in sub tier page","Super Admin Edit SubTier","SUCCESS","2019-04-30T13:14:24.307-04:00[America/New_York]","0.0","7.83"
"Validate error meaasage in sub tier page","browser sign out","SUCCESS","2019-04-30T13:14:32.14-04:00[America/New_York]","0.0","8.42"
